ID,Longitude,Latitude,Mmodesta,barrier,Compet,Bbsuit,BbPA,Bfsuit,BfPA,Brsuit,BrPA,BbBfBrsuit,BbBfBrPA,BbBfsuit,BbBfPA,BbBrsuit,BbBrPA,BfBrsuit,BfBrPA
1,-89.0520806,16.6085278,1,1,0,0.111299999,0,0.119764,0,0.043698002,0,0.119764,0,0.119764,0,0.111299999,0,0.119764,0
2,-89.0434167,16.1979222,1,1,0,0.0618896,0,0.00249902,0,0.00358343,0,0.0618896,0,0.0618896,0,0.0618896,0,0.00358343,0
3,-89.0272361,16.2964222,1,1,0,0.095112897,0,0.0107631,0,0.00815836,0,0.095112897,0,0.095112897,0,0.095112897,0,0.0107631,0
4,-88.9759667,17.0777667,1,1,0,0.076222703,0,0.162928998,0,0.047029201,0,0.162928998,0,0.162928998,0,0.076222703,0,0.162928998,0
5,-88.9396278,16.1566833,1,1,0,0.067477398,0,0.00160283,0,0.00400133,0,0.067477398,0,0.067477398,0,0.067477398,0,0.00400133,0
6,-88.8178556,16.9595111,1,1,0,0.052699901,0,0.058453199,0,0.051839199,0,0.058453199,0,0.058453199,0,0.052699901,0,0.058453199,0
7,-88.7534167,16.4186222,1,1,0,0.095175304,0,0.033311401,0,0.0154015,0,0.095175304,0,0.095175304,0,0.095175304,0,0.033311401,0
8,-88.7442778,16.4440083,1,1,0,0.091891997,0,0.034897599,0,0.016972,0,0.091891997,0,0.091891997,0,0.091891997,0,0.034897599,0
9,-88.7059583,16.5439639,1,1,0,0.103809997,0,0.065413103,0,0.022736499,0,0.103809997,0,0.103809997,0,0.103809997,0,0.065413103,0
10,-77.3688889,3.9394444,1,1,0,0.257093996,0,0.00213834,0,0.491948009,1,0.491948009,1,0.257093996,0,0.491948009,1,0.491948009,1
11,-76.6580444,5.532864,1,1,0,0.529232025,1,0.00683847,0,0.751721025,1,0.751721025,1,0.529232025,1,0.751721025,1,0.751721025,1
12,-76.9133,3.6186111,1,1,0,0.577965021,1,0.323475003,0,0.486837,1,0.577965021,1,0.577965021,1,0.577965021,1,0.486837,1
13,-76.9743389,3.9965139,1,1,0,0.379655987,0,0.00483258,0,0.605863988,1,0.605863988,1,0.379655987,0,0.605863988,1,0.605863988,1
14,-85.5908028,11.005825,1,1,0,0.155607,0,0.065073296,0,0.000567473,0,0.155607,0,0.155607,0,0.155607,0,0.065073296,0
15,-85.5411,10.9832,1,1,0,0.195472002,0,0.086963899,0,0.00218261,0,0.195472002,0,0.195472002,0,0.195472002,0,0.086963899,0
16,-85.4739056,10.9964667,1,1,0,0.27452001,0,0.074357197,0,0.038661599,0,0.27452001,0,0.27452001,0,0.27452001,0,0.074357197,0
17,-85.432,10.9933,1,1,0,0.274937987,0,0.072084799,0,0.044240899,0,0.274937987,0,0.274937987,0,0.274937987,0,0.072084799,0
18,-85.4295,10.9926,1,1,0,0.274937987,0,0.072084799,0,0.044240899,0,0.274937987,0,0.274937987,0,0.274937987,0,0.072084799,0
19,-85.4272,10.9904,1,1,0,0.274937987,0,0.072084799,0,0.044240899,0,0.274937987,0,0.274937987,0,0.274937987,0,0.072084799,0
20,-85.2424139,10.863575,1,1,0,0.248657003,0,0.115070999,0,0.016047999,0,0.248657003,0,0.248657003,0,0.248657003,0,0.115070999,0
21,-85.1204932,10.4535349,1,1,0,0.131764993,0,0.141870007,0,0.000270065,0,0.141870007,0,0.141870007,0,0.131764993,0,0.141870007,0
22,-85.0179722,10.9088861,1,1,0,0.303570002,0,0.275651008,0,0.069444701,0,0.303570002,0,0.303570002,0,0.303570002,0,0.275651008,0
23,-85.0116139,10.6687167,1,1,0,0.316309988,0,0.0722574,0,0.243385002,0,0.316309988,0,0.316309988,0,0.316309988,0,0.243385002,0
24,-84.7194444,10.3083333,1,1,0,0.304172009,0,0.068256997,0,0.093969502,0,0.304172009,0,0.304172009,0,0.304172009,0,0.093969502,0
25,-84.40315,10.5942263,1,1,0,0.308566004,0,0.098395601,0,0.153815001,0,0.308566004,0,0.308566004,0,0.308566004,0,0.153815001,0
26,-84.1292389,10.4142583,1,1,0,0.357367009,0,0.085259601,0,0.459693998,1,0.459693998,1,0.357367009,0,0.459693998,1,0.459693998,1
27,-84.0502,10.4013,1,1,0,0.344976008,0,0.0792128,0,0.516287982,1,0.516287982,1,0.344976008,0,0.516287982,1,0.516287982,1
28,-84.0493,10.4013,1,1,0,0.344976008,0,0.0792128,0,0.516287982,1,0.516287982,1,0.344976008,0,0.516287982,1,0.516287982,1
29,-84.0451944,10.2814778,1,1,0,0.410739005,0,0.065677002,0,0.320239007,1,0.410739005,1,0.410739005,0,0.410739005,1,0.320239007,1
30,-84.0412,10.2964,1,1,0,0.381440014,0,0.066652097,0,0.528689027,1,0.528689027,1,0.381440014,0,0.528689027,1,0.528689027,1
31,-84.0145386,10.2695721,1,1,0,0.410174996,0,0.081937097,0,0.496897012,1,0.496897012,1,0.410174996,0,0.496897012,1,0.496897012,1
32,-84.0049667,10.4308083,1,1,1,0.343015999,0,0.079283297,0,0.495938987,1,0.495938987,1,0.343015999,0,0.495938987,1,0.495938987,1
33,-83.9519,10.1489,1,1,0,0.441606998,0,0.183220997,0,0.393747002,1,0.441606998,1,0.441606998,0,0.441606998,1,0.393747002,1
34,-83.9498667,10.3335,1,1,0,0.342177004,0,0.069519699,0,0.511637986,1,0.511637986,1,0.342177004,0,0.511637986,1,0.511637986,1
35,-83.8542722,9.7962194,1,1,0,0.401966006,0,0.252173007,0,0.118519001,0,0.401966006,0,0.401966006,0,0.401966006,0,0.252173007,0
36,-83.8022139,9.8256361,1,1,0,0.430799991,0,0.243812993,0,0.211464003,0,0.430799991,0,0.430799991,0,0.430799991,0,0.243812993,0
37,-83.7873722,10.2177472,1,1,0,0.309244007,0,0.064534798,0,0.490314007,1,0.490314007,1,0.309244007,0,0.490314007,1,0.490314007,1
38,-83.7389194,9.8981667,1,1,0,0.497249007,1,0.300305009,0,0.522271991,1,0.522271991,1,0.497249007,1,0.522271991,1,0.522271991,1
39,-83.5913,8.48017,1,1,0,0.116230004,0,0.00141167,0,0.032952599,0,0.116230004,0,0.116230004,0,0.116230004,0,0.032952599,0
40,-83.5819306,9.8396139,1,1,0,0.433966994,0,0.291079015,0,0.419019997,1,0.433966994,1,0.433966994,0,0.433966994,1,0.419019997,1
41,-83.5300832,10.073984,1,1,0,0.372424006,0,0.083558798,0,0.546074986,1,0.546074986,1,0.372424006,0,0.546074986,1,0.546074986,1
42,-83.5292,10.5848,1,1,0,0.195531994,0,0.00812528,0,0.325075001,1,0.325075001,1,0.195531994,0,0.325075001,1,0.325075001,1
43,-83.4592,9.81836,1,1,0,0.409029007,0,0.254563004,0,0.354965001,1,0.409029007,1,0.409029007,0,0.409029007,1,0.354965001,1
44,-83.453425,9.9465861,1,1,0,0.446258992,0,0.207229003,0,0.547528028,1,0.547528028,1,0.446258992,0,0.547528028,1,0.547528028,1
45,-83.45,8.9667,1,1,0,0.169074997,0,0.0151843,0,0.0121227,0,0.169074997,0,0.169074997,0,0.169074997,0,0.0151843,0
46,-83.028825,9.6638583,1,1,0,0.526139021,1,0.404336989,0,0.58217001,1,0.58217001,1,0.526139021,1,0.58217001,1,0.58217001,1
47,-82.9716667,8.7629576,1,1,0,0.156362996,0,0.00793463,0,0.0077298,0,0.156362996,0,0.156362996,0,0.156362996,0,0.00793463,0
48,-79.0833306,-2.2666667,1,1,0,0.494076014,1,0.601320982,1,0.00759729,0,0.601320982,1,0.601320982,1,0.494076014,1,0.601320982,1
49,-90.1877056,16.5249083,1,1,0,0.0758617,0,0.097267799,0,0.027832801,0,0.097267799,0,0.097267799,0,0.0758617,0,0.097267799,0
50,-89.0667,15.2833,1,1,0,0.109991997,0,0.088363104,0,0.042990599,0,0.109991997,0,0.109991997,0,0.109991997,0,0.088363104,0
51,-88.8401861,15.5090684,1,1,0,0.102430001,0,0.066587999,0,0.051988099,0,0.102430001,0,0.102430001,0,0.102430001,0,0.066587999,0
52,-88.7045417,15.538,1,1,0,0.108047999,0,0.137268007,0,0.0729912,0,0.137268007,0,0.137268007,0,0.108047999,0,0.137268007,0
53,-88.6333,15.6833,1,1,0,0.111541003,0,0.054207001,0,0.080678299,0,0.111541003,0,0.111541003,0,0.111541003,0,0.080678299,0
54,-88.6066639,15.6846333,1,1,0,0.111056998,0,0.052781802,0,0.110829003,0,0.111056998,0,0.111056998,0,0.111056998,0,0.110829003,0
55,-88.6103528,15.5285222,1,1,0,0.115392998,0,0.186149999,0,0.074417703,0,0.186149999,0,0.186149999,0,0.115392998,0,0.186149999,0
56,-87.502675,15.7621222,1,1,0,0.129942,0,0.092917703,0,0.108214997,0,0.129942,0,0.129942,0,0.129942,0,0.108214997,0
57,-99.2966778,23.0101944,1,1,0,0.0031852,0,0.0130417,0,1.90E-05,0,0.0130417,0,0.0130417,0,0.0031852,0,0.0130417,0
58,-99.1944,23.1004528,1,1,0,0.00169119,0,0.00900055,0,8.26E-06,0,0.00900055,0,0.00900055,0,0.00169119,0,0.00900055,0
59,-99.0941,21.3836,1,1,0,0.012751,0,0.00625642,0,0.000116507,0,0.012751,0,0.012751,0,0.012751,0,0.00625642,0
60,-98.991825,21.3856583,1,1,0,0.00243256,0,0.000340372,0,4.42E-05,0,0.00243256,0,0.00243256,0,0.00243256,0,0.000340372,0
61,-98.9871694,21.39155,1,1,0,0.00243256,0,0.000340372,0,4.42E-05,0,0.00243256,0,0.00243256,0,0.00243256,0,0.000340372,0
62,-98.96805,21.48335,1,1,0,0.00164835,0,0.000361862,0,1.57E-05,0,0.00164835,0,0.00164835,0,0.00164835,0,0.000361862,0
63,-98.9479611,21.45955,1,1,0,0.00177989,0,0.00032597,0,2.61E-05,0,0.00177989,0,0.00177989,0,0.00177989,0,0.00032597,0
64,-98.7852,21.1888,1,1,0,0.00257023,0,0.000816594,0,7.08E-05,0,0.00257023,0,0.00257023,0,0.00257023,0,0.000816594,0
65,-98.5277,21.3947,1,1,0,0.002624,0,0.00511772,0,9.32E-05,0,0.00511772,0,0.00511772,0,0.002624,0,0.00511772,0
66,-97.0805667,18.8601139,1,1,0,0.024611199,0,0.0121054,0,0.000271748,0,0.024611199,0,0.024611199,0,0.024611199,0,0.0121054,0
67,-97.0472056,19.1437064,1,1,0,0.035239998,0,0.0170148,0,0.000830136,0,0.035239998,0,0.035239998,0,0.035239998,0,0.0170148,0
68,-97.0215361,18.9044306,1,1,0,0.02304,0,0.0148682,0,0.000352977,0,0.02304,0,0.02304,0,0.02304,0,0.0148682,0
69,-96.974025,19.3849528,1,1,0,0.0236922,0,0.015869999,0,0.000996243,0,0.0236922,0,0.0236922,0,0.0236922,0,0.015869999,0
70,-96.9734611,19.0688111,1,1,0,0.031783,0,0.017374899,0,0.000467139,0,0.031783,0,0.031783,0,0.031783,0,0.017374899,0
71,-96.9451806,19.509225,1,1,0,0.029762,0,0.038218901,0,0.00235651,0,0.038218901,0,0.038218901,0,0.029762,0,0.038218901,0
72,-96.9429222,18.8916111,1,1,0,0.019769,0,0.00930033,0,0.000306036,0,0.019769,0,0.019769,0,0.019769,0,0.00930033,0
73,-96.8841417,19.3694583,1,1,0,0.0149327,0,0.0205808,0,0.000188492,0,0.0205808,0,0.0205808,0,0.0149327,0,0.0205808,0
74,-96.7785583,18.9125639,1,1,0,0.017586401,0,0.0143584,0,0.00026562,0,0.017586401,0,0.017586401,0,0.017586401,0,0.0143584,0
75,-96.7689722,18.6791194,1,1,0,0.0145684,0,0.00290879,0,0.00020291,0,0.0145684,0,0.0145684,0,0.0145684,0,0.00290879,0
76,-96.3029083,17.7753889,1,1,0,0.010084,0,5.93E-05,0,0.000215591,0,0.010084,0,0.010084,0,0.010084,0,0.000215591,0
77,-95.0752028,18.5854944,1,1,0,0.030640399,0,0.00246409,0,0.00382605,0,0.030640399,0,0.030640399,0,0.030640399,0,0.00382605,0
78,-95.07195,18.6183306,1,1,0,0.030640399,0,0.00246409,0,0.00382605,0,0.030640399,0,0.030640399,0,0.030640399,0,0.00382605,0
79,-92.0924667,16.7973872,1,1,0,0.077541299,0,0.039732099,0,0.00303921,0,0.077541299,0,0.077541299,0,0.077541299,0,0.039732099,0
80,-85.7,13.5833333,1,1,0,0.201692998,0,0.143739,0,0.053168699,0,0.201692998,0,0.201692998,0,0.201692998,0,0.143739,0
81,-84.339,10.9728,1,1,0,0.314485997,0,0.063140102,0,0.174759999,0,0.314485997,0,0.314485997,0,0.314485997,0,0.174759999,0
82,-81.0767833,8.5090111,1,1,0,0.316271007,0,0.066473201,0,0.00983958,0,0.316271007,0,0.316271007,0,0.316271007,0,0.066473201,0
83,-79.8479056,9.1553778,1,1,0,0.211976007,0,0.175308004,0,0.0503796,0,0.211976007,0,0.211976007,0,0.211976007,0,0.175308004,0
84,-79.6561066,9.0760251,1,1,0,0.290789008,0,0.272942007,0,0.0226677,0,0.290789008,0,0.290789008,0,0.290789008,0,0.272942007,0
85,-79.653025,9.5504139,1,1,0,0.196814999,0,0.030448699,0,0.070690699,0,0.196814999,0,0.196814999,0,0.196814999,0,0.070690699,0
86,-79.6151472,9.2142861,1,1,0,0.26534301,0,0.260551989,0,0.0256902,0,0.26534301,0,0.26534301,0,0.26534301,0,0.260551989,0
87,-79.4125417,9.1755417,1,1,0,0.254097015,0,0.0205335,0,0.0171753,0,0.254097015,0,0.254097015,0,0.254097015,0,0.0205335,0
88,-70.7326528,9.3296528,1,1,0,0.66753602,1,0.886099994,1,0.37667799,1,0.886099994,1,0.886099994,1,0.66753602,1,0.886099994,1
89,-60.3961833,-29.4377333,0,0,0,0.00105636,0,0.00393083,0,5.87E-05,0,0.00393083,0,0.00393083,0,0.00105636,0,0.00393083,0
90,-60.3960694,-29.4547861,0,0,0,0.00105636,0,0.00393083,0,5.87E-05,0,0.00393083,0,0.00393083,0,0.00105636,0,0.00393083,0
91,-60.3933306,-29.4486778,0,0,0,0.00105636,0,0.00393083,0,5.87E-05,0,0.00393083,0,0.00393083,0,0.00105636,0,0.00393083,0
92,-41.6859472,-22.2952917,0,0,1,0.088286199,0,0.236539006,0,0.057730999,0,0.236539006,0,0.236539006,0,0.088286199,0,0.236539006,0
93,-70.0042917,-20.2302528,0,1,0,0.172431007,0,0.60117501,1,0.175556004,0,0.60117501,1,0.60117501,1,0.175556004,0,0.60117501,1
94,-59.9830556,-2.9308333,0,0,1,0.450102001,0,0.472649008,1,0.262419999,1,0.472649008,1,0.472649008,1,0.450102001,1,0.472649008,1
95,-43.6622222,-20.4788889,0,0,0,0.0298688,0,0.0241223,0,0.000293087,0,0.0298688,0,0.0298688,0,0.0298688,0,0.0241223,0
96,-42.4943833,-22.3778556,0,0,1,0.035847899,0,0.056108501,0,0.00430998,0,0.056108501,0,0.056108501,0,0.035847899,0,0.056108501,0
97,-70.0836361,-20.4032194,0,1,0,0.171670005,0,0.600214005,1,0.174602002,0,0.600214005,1,0.600214005,1,0.174602002,0,0.600214005,1
98,-47.9236417,-25.0721694,0,0,1,0.0129614,0,0.00626784,0,0.00716297,0,0.0129614,0,0.0129614,0,0.0129614,0,0.00716297,0
99,-69.9678111,-20.7134,0,1,0,0.157240003,0,0.584261,1,0.157214001,0,0.584261,1,0.584261,1,0.157240003,0,0.584261,1
100,-69.9120944,-20.2235361,0,1,0,0.144461006,0,0.535179019,1,0.141525,0,0.535179019,1,0.535179019,1,0.144461006,0,0.535179019,1
101,-73.9120556,4.7974444,0,1,0,0.709712029,1,0.867078006,1,0.442131996,1,0.867078006,1,0.867078006,1,0.709712029,1,0.867078006,1
102,-73.7,5.0166667,0,1,0,0.562784016,1,0.770166993,1,0.274973005,1,0.770166993,1,0.770166993,1,0.562784016,1,0.770166993,1
103,-85.6124917,10.8337917,0,1,0,0.090556197,0,0.058058798,0,7.24E-05,0,0.090556197,0,0.090556197,0,0.090556197,0,0.058058798,0
104,-84.7951972,10.3223944,0,1,0,0.304136008,0,0.072608903,0,0.102914996,0,0.304136008,0,0.304136008,0,0.304136008,0,0.102914996,0
105,-83.7087861,9.5604889,0,1,0,0.308304012,0,0.123065002,0,0.0148081,0,0.308304012,0,0.308304012,0,0.308304012,0,0.123065002,0
106,-61.41,15.51,0,0,0,0.386198997,0,0.169817999,0,0.459037989,1,0.459037989,1,0.386198997,0,0.459037989,1,0.459037989,1
107,-61.335,15.375,0,0,0,0.386909008,0,0.169839993,0,0.443235993,1,0.443235993,1,0.386909008,0,0.443235993,1,0.443235993,1
108,-61.31,15.3499972,0,0,0,0.383527011,0,0.122865997,0,0.481247008,1,0.481247008,1,0.383527011,0,0.481247008,1,0.481247008,1
109,-76.3944806,-0.6763417,0,0,1,0.653620005,1,0.375333995,0,0.691617012,1,0.691617012,1,0.653620005,1,0.691617012,1,0.691617012,1
110,-53.0311861,5.0714889,0,0,1,0.403598011,0,0.115951002,0,0.159084007,0,0.403598011,0,0.403598011,0,0.403598011,0,0.159084007,0
111,-52.9229667,5.0367222,0,0,1,0.393032998,0,0.101429999,0,0.144837007,0,0.393032998,0,0.393032998,0,0.393032998,0,0.144837007,0
112,-52.9229667,5.1492528,0,0,1,0.376323998,0,0.095794201,0,0.105525002,0,0.376323998,0,0.376323998,0,0.376323998,0,0.105525002,0
113,-52.359375,0.8145806,0,0,1,0.359569997,0,0.29025799,0,0.197861001,0,0.359569997,0,0.359569997,0,0.359569997,0,0.29025799,0
114,-52.1195222,4.5307583,0,0,1,0.331055999,0,0.027451601,0,0.159602001,0,0.331055999,0,0.331055999,0,0.331055999,0,0.159602001,0
115,-78.3226187,18.2739389,0,0,1,0.345557988,0,0.448444009,1,0.111354999,0,0.448444009,1,0.448444009,1,0.345557988,0,0.448444009,1
116,-78.2431304,18.3810683,0,0,1,0.354310006,0,0.459760994,1,0.134882003,0,0.459760994,1,0.459760994,1,0.354310006,0,0.459760994,1
117,-78.1785361,18.2973188,0,0,1,0.328693002,0,0.391485006,0,0.109636001,0,0.391485006,0,0.391485006,0,0.328693002,0,0.391485006,0
118,-78.1785361,18.4136371,0,0,1,0.348120004,0,0.416548014,1,0.123533003,0,0.416548014,1,0.416548014,1,0.348120004,0,0.416548014,1
119,-77.4905889,18.1718028,0,0,1,0.345827013,0,0.237517998,0,0.147635996,0,0.345827013,0,0.345827013,0,0.345827013,0,0.237517998,0
120,-77.457275,18.1577056,0,0,1,0.317519009,0,0.207509995,0,0.132214993,0,0.317519009,0,0.317519009,0,0.317519009,0,0.207509995,0
121,-99.1516667,19.0205556,0,1,0,0.0232813,0,0.038626999,0,5.99E-06,0,0.038626999,0,0.038626999,0,0.0232813,0,0.038626999,0
122,-99.0655333,18.883025,0,1,0,0.0193504,0,0.053667799,0,5.27E-06,0,0.053667799,0,0.053667799,0,0.0193504,0,0.053667799,0
123,-73.4847139,-4.2159861,0,0,0,0.701528013,1,0.502698004,1,0.620373011,1,0.701528013,1,0.701528013,1,0.701528013,1,0.620373011,1
124,-66.5600694,18.1588444,0,0,0,0.203338996,0,0.084446102,0,0.111435004,0,0.203338996,0,0.203338996,0,0.203338996,0,0.111435004,0
125,-65.8170278,18.3209472,0,0,0,0.313405007,0,0.167156994,0,0.425897986,1,0.425897986,1,0.313405007,0,0.425897986,1,0.425897986,1
126,-65.7950861,18.3049972,0,0,0,0.313405007,0,0.167156994,0,0.425897986,1,0.425897986,1,0.313405007,0,0.425897986,1,0.425897986,1
127,-65.7941528,18.293,0,0,0,0.313405007,0,0.167156994,0,0.425897986,1,0.425897986,1,0.313405007,0,0.425897986,1,0.425897986,1
128,-65.7624778,18.2746611,0,0,0,0.308328003,0,0.155931994,0,0.412479013,1,0.412479013,1,0.308328003,0,0.412479013,1,0.412479013,1
129,-63.238825,17.6280944,0,0,0,0.310196012,0,0.657671988,1,0.179674,0,0.657671988,1,0.657671988,1,0.310196012,0,0.657671988,1
130,-71.0570944,8.6227306,0,1,0,0.589141011,1,0.692183018,1,0.113985002,0,0.692183018,1,0.692183018,1,0.589141011,1,0.692183018,1
131,-67.9964833,10.3714694,0,0,1,0.460056007,0,0.689541996,1,0.059515301,0,0.689541996,1,0.689541996,1,0.460056007,0,0.689541996,1
132,-67.9943111,10.3736861,0,0,1,0.460056007,0,0.689541996,1,0.059515301,0,0.689541996,1,0.689541996,1,0.460056007,0,0.689541996,1
133,-97.0043889,19.0043889,0,1,0,0.0290164,0,0.0155313,0,0.000366277,0,0.0290164,0,0.0290164,0,0.0290164,0,0.0155313,0
134,-97.0021111,19.5001667,0,1,0,0.0279362,0,0.0170446,0,0.000902713,0,0.0279362,0,0.0279362,0,0.0279362,0,0.0170446,0
135,-58.3132417,6.5623889,0,0,0,0.565349996,1,0.578813016,1,0.346453011,1,0.578813016,1,0.578813016,1,0.565349996,1,0.578813016,1
136,-58.2196139,6.4980778,0,0,0,0.638006985,1,0.822161973,1,0.423628002,1,0.822161973,1,0.822161973,1,0.638006985,1,0.822161973,1
137,-92.7167,15.6333,1,1,0,0.083002597,0,0.0369193,0,0.000123284,0,0.083002597,0,0.083002597,0,0.083002597,0,0.0369193,0
138,-79.7147,9.1272,1,1,0,0.247357994,0,0.210903004,0,0.032792501,0,0.247357994,0,0.247357994,0,0.247357994,0,0.210903004,0
139,-77.5061111,5.5736111,1,1,0,0.426286012,0,0.021797599,0,0.594760001,1,0.594760001,1,0.426286012,0,0.594760001,1,0.594760001,1
141,-88.2825,15.5197,1,1,0,0.115092002,0,0.121100001,0,0.072591297,0,0.121100001,0,0.121100001,0,0.115092002,0,0.121100001,0
142,-88.2142,15.5169,1,1,0,0.117963001,0,0.123646997,0,0.074097201,0,0.123646997,0,0.123646997,0,0.117963001,0,0.123646997,0
143,-88.80436,18.426725,0,1,0,0.060352799,0,0.129932001,0,0.0102156,0,0.129932001,0,0.129932001,0,0.060352799,0,0.129932001,0
144,-81.12,8.52,1,1,0,0.335227996,0,0.089580797,0,0.0135701,0,0.335227996,0,0.335227996,0,0.335227996,0,0.089580797,0
145,-81.1394,8.5287,1,1,0,0.378764987,0,0.143004999,0,0.033197898,0,0.378764987,0,0.378764987,0,0.378764987,0,0.143004999,0
146,-81.1179,8.5168,1,1,0,0.335227996,0,0.089580797,0,0.0135701,0,0.335227996,0,0.335227996,0,0.335227996,0,0.089580797,0
147,-90.219,15.2145,1,1,0,0.178143993,0,0.144649997,0,0.026810899,0,0.178143993,0,0.178143993,0,0.178143993,0,0.144649997,0
148,-77.4167,3.25,1,1,0,0.389782012,0,0.00312621,0,0.658055007,1,0.658055007,1,0.389782012,0,0.658055007,1,0.658055007,1
149,-96.6247,17.1406,1,1,0,0.082667097,0,0.172055006,0,0.000148276,0,0.172055006,0,0.172055006,0,0.082667097,0,0.172055006,0
150,-95.05,18.48,1,1,0,0.024654999,0,0.00382792,0,0.00246806,0,0.024654999,0,0.024654999,0,0.024654999,0,0.00382792,0
151,-88.98599167,16.7332,0,1,0,0.102187999,0,0.132326007,0,0.0533733,0,0.132326007,0,0.132326007,0,0.102187999,0,0.132326007,0
152,-73.43333333,5.783333333,0,1,0,0.601444006,1,0.567035973,1,0.205788001,0,0.601444006,1,0.601444006,1,0.601444006,1,0.567035973,1
153,-75.45788889,5.076861111,0,1,1,0.602730989,1,0.540307999,1,0.356173992,1,0.602730989,1,0.602730989,1,0.602730989,1,0.540307999,1
154,-75.0666667,6.9,1,1,0,0.482762009,0,0.145621002,0,0.269241989,1,0.482762009,1,0.482762009,0,0.482762009,1,0.269241989,1
